Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"J1","Conn_01x02_Female","Connector_THT_1x2_2.54",149.147312,-81.242741,0.000000,top
"M1","XIAO-RP2040","XIAO-RP2040",140.027314,-89.410742,0.000000,top
"SW2","SW_Push","Kailh_socket_MX-ChocV1",68.464876,-37.594987,-15.000000,top
"SW3","SW_Push","Kailh_socket_MX-ChocV1",88.111561,-37.682907,-15.000000,top
"SW8","SW_Push","Kailh_socket_MX-ChocV1",209.709840,-37.685191,15.000000,top
"SW9","SW_Push","Kailh_socket_MX-ChocV1",229.356529,-37.597256,15.000000,top
"SW11","SW_Push","Kailh_socket_MX-ChocV1",41.959489,-63.104078,-15.000000,top
"SW12","SW_Push","Kailh_socket_MX-ChocV1",63.547314,-55.947569,-15.000000,top
"SW13","SW_Push","Kailh_socket_MX-ChocV1",83.193996,-56.035496,-15.000000,top
"SW14","SW_Push","Kailh_socket_MX-ChocV1",100.252497,-65.782694,-15.000000,top
"SW15","SW_Push","Kailh_socket_MX-ChocV1",117.958040,-73.115070,-15.000000,top
"SW16","SW_Push","Kailh_socket_MX-ChocV1",179.863370,-73.117351,15.000000,top
"SW17","SW_Push","Kailh_socket_MX-ChocV1",197.568905,-65.784974,15.000000,top
"SW18","SW_Push","Kailh_socket_MX-ChocV1",214.627404,-56.037780,15.000000,top
"SW19","SW_Push","Kailh_socket_MX-ChocV1",234.274087,-55.949851,15.000000,top
"SW20","SW_Push","Kailh_socket_MX-ChocV1",255.861912,-63.106356,15.000000,top
"SW21","SW_Push","Kailh_socket_MX-ChocV1",37.041926,-81.456671,-15.000000,top
"SW22","SW_Push","Kailh_socket_MX-ChocV1",58.629754,-74.300164,-15.000000,top
"SW23","SW_Push","Kailh_socket_MX-ChocV1",78.276431,-74.388092,-15.000000,top
"SW24","SW_Push","Kailh_socket_MX-ChocV1",95.334933,-84.135280,-15.000000,top
"SW25","SW_Push","Kailh_socket_MX-ChocV1",113.040480,-91.467660,-15.000000,top
"SW26","SW_Push","Kailh_socket_MX-ChocV1",184.780928,-91.469937,15.000000,top
"SW27","SW_Push","Kailh_socket_MX-ChocV1",202.486473,-84.137559,15.000000,top
"SW28","SW_Push","Kailh_socket_MX-ChocV1",219.544967,-74.390366,15.000000,top
"SW29","SW_Push","Kailh_socket_MX-ChocV1",239.191652,-74.302438,15.000000,top
"SW30","SW_Push","Kailh_socket_MX-ChocV1",260.779483,-81.458950,15.000000,top
"SW33","SW_Push","Kailh_socket_MX-ChocV1",89.123278,-107.317500,-15.000000,top
"SW34","SW_Push","Kailh_socket_MX-ChocV1",108.856820,-114.499928,-25.000000,top
"SW35","SW_Push","Kailh_socket_MX-ChocV1",127.043354,-124.999929,-35.000000,top
"SW36","SW_Push","Kailh_socket_MX-ChocV1",170.778052,-125.002198,35.000000,top
"SW37","SW_Push","Kailh_socket_MX-ChocV1",188.964587,-114.502198,25.000000,top
"SW38","SW_Push","Kailh_socket_MX-ChocV1",208.698126,-107.319778,15.000000,top
